iter	Passed	Remaining
365	5519	2020
366	5535	2006
367	5550	1990
368	5563	1975
369	5578	1960
370	5593	1945
371	5609	1930
372	5625	1915
373	5639	1899
374	5652	1884
375	5664	1868
376	5675	1851
377	5688	1835
378	5701	1820
379	5714	1804
380	5727	1788
381	5742	1773
382	5758	1759
383	5774	1744
384	5789	1729
385	5804	1714
386	5816	1698
387	5831	1683
388	5844	1667
389	5857	1652
390	5869	1636
391	5880	1620
392	5891	1604
393	5902	1588
394	5914	1572
395	5925	1556
396	5937	1540
397	5949	1524
398	5959	1508
399	5971	1492
400	5981	1476
401	5991	1460
402	6002	1444
403	6011	1428
404	6021	1412
405	6031	1396
406	6040	1380
407	6051	1364
408	6061	1348
409	6071	1332
410	6082	1317
411	6092	1301
412	6102	1285
413	6112	1269
414	6123	1254
415	6133	1238
416	6143	1222
417	6153	1207
418	6163	1191
419	6173	1175
420	6184	1160
421	6194	1144
422	6204	1129
423	6215	1114
424	6225	1098
425	6235	1083
426	6245	1067
427	6256	1052
428	6266	1037
429	6276	1021
430	6287	1006
431	6298	991
432	6307	976
433	6318	960
434	6328	945
435	6340	930
436	6352	915
437	6364	900
438	6373	885
439	6384	870
440	6394	855
441	6403	840
442	6414	825
443	6423	810
444	6434	795
445	6446	780
446	6456	765
447	6468	750
448	6478	735
449	6488	720
450	6500	706
451	6511	691
452	6522	676
453	6532	661
454	6543	647
455	6555	632
456	6568	618
457	6579	603
458	6589	588
459	6601	574
460	6611	559
461	6620	544
462	6632	530
463	6642	515
464	6651	500
465	6661	486
466	6670	471
467	6680	456
468	6689	442
469	6699	427
470	6709	413
471	6718	398
472	6730	384
473	6744	369
474	6754	355
475	6765	341
476	6779	326
477	6793	312
478	6803	298
479	6814	283
480	6824	269
481	6835	255
482	6846	240
483	6856	226
484	6865	212
485	6875	198
486	6886	183
487	6896	169
488	6907	155
489	6916	141
490	6927	126
491	6938	112
492	6948	98
493	6959	84
494	6969	70
495	6979	56
496	6990	42
497	6999	28
498	7009	14
499	7019	0
