iter	MultiClass
156	0.2533562551
157	0.2527825756
158	0.2523034187
159	0.2517713291
160	0.2510440541
161	0.2504173872
162	0.2499106355
163	0.2494565939
164	0.2489445617
165	0.248396741
166	0.2478870867
167	0.2472840602
168	0.2468997341
169	0.2463503186
170	0.245917711
171	0.2455179543
172	0.24506073
173	0.2445176509
174	0.244154608
175	0.2437122304
176	0.2432438471
177	0.2428554009
178	0.2423996573
179	0.2419004201
180	0.2414108473
181	0.2410889589
182	0.2406737572
183	0.2402425802
184	0.239937845
185	0.2395539746
186	0.2390982979
187	0.2388507787
188	0.2384215382
189	0.2379853672
190	0.237622243
191	0.2373273966
192	0.2367784112
193	0.2364950324
194	0.2361101505
195	0.235647963
196	0.2351231813
197	0.2347765328
198	0.2344111987
199	0.2341609647
200	0.2339086303
201	0.2335429188
202	0.2332640571
203	0.2329326993
204	0.2326075639
205	0.2322533582
206	0.2319933374
207	0.2317033105
208	0.2313806612
209	0.2310021958
210	0.2306983101
211	0.2303294971
212	0.2300096022
213	0.229676113
214	0.2294077939
215	0.2290068881
216	0.2287013937
217	0.22848906
218	0.2282754468
219	0.2279477803
220	0.2276003966
221	0.2273717058
222	0.2271750687
223	0.226844802
224	0.2265158491
225	0.2262675746
226	0.2259645352
227	0.2257813376
228	0.2256383789
229	0.2254133997
230	0.2252247781
231	0.2250454052
232	0.2247778269
233	0.2245692711
234	0.2243683936
235	0.2240912584
236	0.2238903859
237	0.2236659533
238	0.2234495609
239	0.2232560979
240	0.2231382375
241	0.2228214168
242	0.222547693
243	0.2223387407
244	0.2220939148
245	0.2219972285
246	0.2216874961
247	0.2214654146
248	0.2212560895
249	0.2209631843
250	0.220761103
251	0.220537934
252	0.2203450286
253	0.2201894365
254	0.2199410619
255	0.2196415619
256	0.219474149
257	0.2192911919
258	0.2190715269
259	0.218903237
260	0.2186705699
261	0.2184227982
262	0.2182116672
263	0.2180056879
264	0.2177750878
265	0.2175485681
266	0.2174203239
267	0.2172816474
268	0.2170484611
269	0.216845902
270	0.2167615392
271	0.2165738426
272	0.2164295928
273	0.2162151142
274	0.2160803629
275	0.215933653
276	0.2157531513
277	0.2156692667
278	0.2154056023
279	0.2152848022
280	0.2150615425
281	0.2149468191
282	0.2148041688
283	0.2146121438
284	0.2143647528
285	0.2141862164
286	0.2140783488
287	0.2139538292
288	0.2137204829
289	0.2135292305
290	0.2133107492
291	0.2131515961
292	0.2129759457
293	0.2127715144
294	0.2124826416
295	0.2122756149
296	0.212035189
297	0.2118145908
298	0.2116751955
299	0.2115001341
300	0.211315578
301	0.2111645189
302	0.2110459448
303	0.2108449014
304	0.2106831133
305	0.2105790842
306	0.2104119786
307	0.2102969525
308	0.2100643682
309	0.2099264246
310	0.2098031981
311	0.2096259175
312	0.2095388014
313	0.2094317696
314	0.2093316463
315	0.2091827648
316	0.209033147
317	0.2087902934
318	0.2086232424
319	0.2084503135
320	0.2082942508
321	0.2080914839
322	0.207926699
323	0.2077883214
324	0.2076710302
325	0.2075569242
326	0.2074874383
327	0.2073580044
328	0.2071581005
329	0.2070224719
330	0.2069256688
331	0.2067332916
332	0.2065546474
333	0.2063823726
334	0.2061779666
335	0.2061218742
336	0.2059805741
337	0.2058627452
338	0.2057247005
339	0.2056158091
340	0.2054200638
341	0.205315702
342	0.2051177413
343	0.2049617924
344	0.2047836084
345	0.204690439
346	0.2045976348
347	0.2043985778
348	0.2042722811
349	0.2042114102
350	0.2040966685
351	0.2039502298
352	0.2038442363
353	0.2036942168
354	0.2036441928
355	0.2035224023
356	0.2034094377
357	0.2032541783
358	0.2030904507
359	0.202998205
360	0.2028578843
361	0.2027242793
362	0.2026317675
363	0.2025351619
364	0.2024387579
365	0.2023076976
366	0.2021545373
367	0.202029474
368	0.2018679576
369	0.2016674896
370	0.2015020586
371	0.2013898095
372	0.2013225132
373	0.2011287596
374	0.201022764
375	0.200889825
376	0.2008249693
377	0.2006982389
378	0.2006187973
379	0.2005068805
380	0.2003555223
381	0.2001562605
382	0.2000863957
383	0.2000142277
384	0.1998923169
385	0.1997788281
386	0.1997100779
387	0.1996253807
388	0.1995619243
389	0.1995115643
390	0.1993928526
391	0.1993165339
392	0.1992356378
393	0.1991032277
394	0.1989768288
395	0.1988309876
396	0.198683577
397	0.198553122
398	0.1984977752
399	0.1983530768
400	0.1982653269
401	0.1981763664
402	0.1980130677
403	0.1979590211
404	0.1978387809
405	0.1977002787
406	0.1975577856
407	0.1975083126
408	0.1973285559
409	0.1971984792
410	0.1971047335
411	0.1969917617
412	0.1968419877
413	0.1967577072
414	0.1966964073
415	0.1965781311
416	0.1965085118
417	0.1964177716
418	0.1962688025
419	0.1961445723
420	0.1960399146
421	0.1959839345
422	0.1959132655
423	0.1958090619
424	0.1956506705
425	0.1955674788
426	0.1954688648
427	0.1953700548
428	0.1952498247
429	0.1952041767
430	0.1950929452
431	0.1948905893
432	0.1947833827
433	0.1947301614
434	0.1946363279
435	0.1945106341
436	0.1943957995
437	0.1943190896
438	0.1942375344
439	0.1941471656
440	0.194082533
441	0.1939805915
442	0.1939130192
443	0.1938206656
444	0.1937376935
445	0.1935915778
446	0.1934510494
447	0.1933275856
448	0.1932494597
449	0.1931489982
450	0.1929857662
451	0.1928683553
452	0.1928032796
453	0.1927099868
454	0.1926355202
455	0.1925294153
456	0.1923930251
457	0.192258669
458	0.1921398804
459	0.192036249
460	0.1919485077
461	0.1918365726
462	0.1917724862
463	0.1916643779
464	0.1915691661
465	0.1914980837
466	0.1914294711
467	0.191292485
468	0.1911647645
469	0.1910462835
470	0.1909544789
471	0.1907625747
472	0.1906102824
473	0.1905755237
474	0.1904915243
475	0.1903660339
476	0.1902345371
477	0.1901437325
478	0.1900600443
479	0.1900217676
480	0.1899396373
481	0.1898048324
482	0.1896844614
483	0.1896099598
484	0.1895498769
485	0.1895081154
486	0.1894139989
487	0.1893561416
488	0.1892956222
489	0.1891875256
490	0.1890854847
491	0.188934626
492	0.1887474473
493	0.1886361741
494	0.1885357209
495	0.1884111576
496	0.188348922
497	0.1882654837
498	0.1881014209
499	0.1880433121
